=== Server Log Started ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] 로그 시스템 초기화 완료
[2026-01-20 06:25:10] [INFO ] [PID:6397] === Multi-Process Echo Server (fork-exec) 시작 ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] Port: 9190
[2026-01-20 06:25:10] [INFO ] [PID:6397] 클라이언트 연결 대기 중 (poll 사용, fork-exec 방식)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7111, Session #575)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=575, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46856 (Session #576, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7112, Session #576)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=576, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46870 (Session #577, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7113, Session #577)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=577, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46872 (Session #578, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7114, Session #578)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=578, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46876 (Session #579, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7115, Session #579)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=579, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46886 (Session #580, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7116, Session #580)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=580, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46888 (Session #581, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7117, Session #581)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=581, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46900 (Session #582, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7118, Session #582)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=582, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46912 (Session #583, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7119, Session #583)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=583, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46924 (Session #584, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7120, Session #584)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=584, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46930 (Session #585, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7121, Session #585)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=585, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46944 (Session #586, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7122, Session #586)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=586, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46960 (Session #587, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7123, Session #587)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=587, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46968 (Session #588, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7124, Session #588)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=588, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46982 (Session #589, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7125, Session #589)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=589, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46984 (Session #590, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7126, Session #590)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=590, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46986 (Session #591, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7127, Session #591)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=591, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:46996 (Session #592, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7128, Session #592)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=592, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47008 (Session #593, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7129, Session #593)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=593, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47020 (Session #594, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7130, Session #594)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=594, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47022 (Session #595, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7131, Session #595)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=595, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47032 (Session #596, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7132, Session #596)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=596, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47042 (Session #597, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7133, Session #597)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=597, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47052 (Session #598, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7134, Session #598)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=598, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47066 (Session #599, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7135, Session #599)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=599, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47078 (Session #600, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7138, Session #600)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=600, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47086 (Session #601, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7139, Session #601)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=601, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47094 (Session #602, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7143, Session #602)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=602, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47100 (Session #603, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7145, Session #603)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=603, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47104 (Session #604, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7148, Session #604)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=604, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47114 (Session #605, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7149, Session #605)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=605, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47122 (Session #606, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7151, Session #606)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=606, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47124 (Session #607, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7153, Session #607)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=607, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47130 (Session #608, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7157, Session #608)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=608, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47138 (Session #609, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7158, Session #609)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=609, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47154 (Session #610, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7161, Session #610)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=610, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47170 (Session #611, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7164, Session #611)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=611, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47180 (Session #612, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7167, Session #612)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=612, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47196 (Session #613, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7169, Session #613)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=613, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47198 (Session #614, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7170, Session #614)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=614, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47200 (Session #615, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7171, Session #615)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=615, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47204 (Session #616, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7172, Session #616)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=616, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47210 (Session #617, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7173, Session #617)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=617, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47220 (Session #618, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7174, Session #618)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=618, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47228 (Session #619, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7175, Session #619)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=619, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47234 (Session #620, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7176, Session #620)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=620, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47244 (Session #621, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7177, Session #621)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=621, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47246 (Session #622, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7178, Session #622)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=622, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47248 (Session #623, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7179, Session #623)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=623, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47252 (Session #624, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7180, Session #624)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=624, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47256 (Session #625, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7181, Session #625)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=625, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47270 (Session #626, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7182, Session #626)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=626, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47278 (Session #627, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7183, Session #627)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=627, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47286 (Session #628, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7184, Session #628)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=628, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47302 (Session #629, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7185, Session #629)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=629, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47312 (Session #630, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7186, Session #630)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=630, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47324 (Session #631, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7187, Session #631)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=631, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47340 (Session #632, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7188, Session #632)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=632, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47352 (Session #633, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7189, Session #633)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=633, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47368 (Session #634, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7190, Session #634)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=634, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47372 (Session #635, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7191, Session #635)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=635, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47382 (Session #636, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7192, Session #636)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=636, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47390 (Session #637, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7193, Session #637)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=637, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47398 (Session #638, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7194, Session #638)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=638, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47414 (Session #639, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7195, Session #639)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=639, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47428 (Session #640, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7196, Session #640)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=640, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47432 (Session #641, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7197, Session #641)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=641, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47442 (Session #642, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7198, Session #642)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=642, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47456 (Session #643, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7199, Session #643)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=643, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47458 (Session #644, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7200, Session #644)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=644, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47460 (Session #645, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7201, Session #645)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=645, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47464 (Session #646, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7202, Session #646)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=646, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47468 (Session #647, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7203, Session #647)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=647, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47476 (Session #648, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7204, Session #648)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=648, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47484 (Session #649, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7205, Session #649)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=649, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47494 (Session #650, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7206, Session #650)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=650, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47506 (Session #651, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7207, Session #651)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=651, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47508 (Session #652, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7208, Session #652)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=652, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47522 (Session #653, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7209, Session #653)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=653, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47530 (Session #654, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7210, Session #654)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=654, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47542 (Session #655, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7211, Session #655)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=655, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47554 (Session #656, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7212, Session #656)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=656, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47566 (Session #657, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7213, Session #657)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=657, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47574 (Session #658, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7214, Session #658)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=658, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47584 (Session #659, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7215, Session #659)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=659, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47586 (Session #660, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7216, Session #660)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=660, exec 대기 중...
[2026-01-20 06:25:26] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:47602 (Session #661, fd: 4)
[2026-01-20 06:25:26] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 7217, Session #661)
[2026-01-20 06:25:26] [DEBUG] [PID:6397] fork 성공=661, exec 대기 중...
